WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2016-12-19 00:00:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.6800;0.0000;    0;  363
2016-12-19 00:01:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5100;0.0000;    0;  362
2016-12-19 00:02:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5900;0.0000;    0;  361
2016-12-19 00:03:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5900;0.0000;    0;  360
2016-12-19 00:04:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5900;0.0000;    0;  359
2016-12-19 00:05:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5100;0.0000;    0;  358
2016-12-19 00:06:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.4200;0.0000;    0;  357
2016-12-19 00:07:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5100;0.0000;    0;  357
2016-12-19 00:08:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5100;0.0000;    0;  356
2016-12-19 00:09:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.6800;0.0000;    0;  355
2016-12-19 00:10:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.7600;0.0000;    0;  354
2016-12-19 00:11:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  353
2016-12-19 00:12:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  352
2016-12-19 00:13:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  351
2016-12-19 00:14:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  350
2016-12-19 00:15:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.9300;0.0000;    0;  349
2016-12-19 00:16:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  348
2016-12-19 00:17:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  347
2016-12-19 00:18:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.9300;0.0000;    0;  346
2016-12-19 00:19:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.9300;0.0000;    0;  345
2016-12-19 00:20:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;  344
2016-12-19 00:21:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;  343
2016-12-19 00:22:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;  342
2016-12-19 00:23:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.5900;0.0000;    0;  341
2016-12-19 00:24:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.6800;0.0000;    0;  340
2016-12-19 00:25:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.7600;0.0000;    0;  339
2016-12-19 00:26:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  338
2016-12-19 00:27:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;  337
2016-12-19 00:28:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  336
2016-12-19 00:29:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  335
2016-12-19 00:30:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.7600;0.0000;    0;  334
2016-12-19 00:31:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.4200;0.0000;    0;  333
2016-12-19 00:32:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.4200;0.0000;    0;  332
2016-12-19 00:33:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.6800;0.0000;    0;  331
2016-12-19 00:34:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  330
2016-12-19 00:35:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  329
2016-12-19 00:36:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.7600;0.0000;    0;  328
2016-12-19 00:37:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  327
2016-12-19 00:38:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.7600;0.0000;    0;  326
2016-12-19 00:39:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  327
2016-12-19 00:40:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  326
2016-12-19 00:41:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  325
2016-12-19 00:42:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.9300;0.0000;    0;  324
2016-12-19 00:43:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.9300;0.0000;    0;  323
2016-12-19 00:44:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  322
2016-12-19 00:45:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;  323
2016-12-19 00:46:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.3300;0.0000;    0;  322
2016-12-19 00:47:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.1600;0.0000;    0;  321
2016-12-19 00:48:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.3300;0.0000;    0;  321
2016-12-19 00:49:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.3300;0.0000;    0;  320
2016-12-19 00:50:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.4200;0.0000;    0;  319
2016-12-19 00:51:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.1600;0.0000;    0;  318
2016-12-19 00:52:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.2500;0.0000;    0;  317
2016-12-19 00:53:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.1600;0.0000;    0;  316
2016-12-19 00:54:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;  315
2016-12-19 00:55:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.1600;0.0000;    0;  314
2016-12-19 00:56:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.1600;0.0000;    0;  313
2016-12-19 00:57:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;  312
2016-12-19 00:58:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;  312
2016-12-19 00:59:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;  311
2016-12-19 01:00:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;  310
2016-12-19 01:01:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;  309
2016-12-19 01:02:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9900;0.0000;    0;  308
2016-12-19 01:03:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  307
2016-12-19 01:04:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  307
2016-12-19 01:05:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  306
2016-12-19 01:06:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  306
2016-12-19 01:07:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  305
2016-12-19 01:08:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  307
2016-12-19 01:09:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  306
2016-12-19 01:10:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  305
2016-12-19 01:11:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  304
2016-12-19 01:12:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  303
2016-12-19 01:13:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  302
2016-12-19 01:14:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  301
2016-12-19 01:15:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  300
2016-12-19 01:16:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  299
2016-12-19 01:17:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  298
2016-12-19 01:18:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  297
2016-12-19 01:19:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.5700;0.0000;    0;  296
2016-12-19 01:20:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.4000;0.0000;    0;  295
2016-12-19 01:21:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.4000;0.0000;    0;  294
2016-12-19 01:22:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.4000;0.0000;    0;  293
2016-12-19 01:23:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.4800;0.0000;    0;  292
2016-12-19 01:24:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.4800;0.0000;    0;  291
2016-12-19 01:25:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.4800;0.0000;    0;  290
2016-12-19 01:26:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.4800;0.0000;    0;  289
2016-12-19 01:27:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.5700;0.0000;    0;  288
2016-12-19 01:28:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  287
2016-12-19 01:29:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  286
2016-12-19 01:30:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  285
2016-12-19 01:31:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  284
2016-12-19 01:32:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  283
2016-12-19 01:33:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  282
2016-12-19 01:34:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  281
2016-12-19 01:35:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  280
2016-12-19 01:36:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  279
2016-12-19 01:37:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  278
2016-12-19 01:38:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  277
2016-12-19 01:39:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  276
2016-12-19 01:40:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  275
2016-12-19 01:41:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  274
2016-12-19 01:42:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9900;0.0000;    0;  273
2016-12-19 01:43:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  272
2016-12-19 01:44:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  271
2016-12-19 01:45:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;  270
2016-12-19 01:46:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  269
2016-12-19 01:47:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  268
2016-12-19 01:48:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  267
2016-12-19 01:49:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  266
2016-12-19 01:50:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.9900;0.0000;    0;  265
2016-12-19 01:51:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;  264
2016-12-19 01:52:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;  263
2016-12-19 01:53:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  262
2016-12-19 01:54:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  261
2016-12-19 01:55:56;0.0000;211.3300;    0;    0;    0;    0;    0;    0;    0;19.6500;0.0000;    0;  260
