WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-01-23 09:28:00;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2017-01-23 09:28:00;0.0200;170.3200;   60;   36;   38;    0;    1;    1;    0;22.6100;0.0000;    0;    0
2017-01-23 09:29:00;0.0000;170.3200;   60;    6;   17;    0;    0;    1;    0;22.7000;0.0236;    0;   28
2017-01-23 09:30:00;0.0100;170.3300;   60;   13;   19;    0;    0;    1;    0;22.7000;0.0236;    0;   20
2017-01-23 09:31:00;0.0100;170.3400;   60;   19;   16;    0;    1;    1;    0;22.6100;0.0000;    0;    3
2017-01-23 09:32:00;0.0100;170.3500;   60;   19;   28;    0;    1;    1;    0;22.4300;0.0472;    0;    9
2017-01-23 09:33:00;0.0100;170.3600;   60;   11;   20;    0;    1;    1;    0;22.5200;0.0236;    0;    7
2017-01-23 09:34:00;0.0000;170.3600;   60;   11;   18;    0;    0;    1;    0;22.6100;0.0000;    0;   36
2017-01-23 09:35:00;0.0100;170.3700;   60;    0;   17;    0;    0;    1;    0;22.3400;0.0236;    0;   13
2017-01-23 09:36:00;0.0000;170.3700;   60;   16;   11;    0;    1;    0;    0;22.3400;0.0000;    0;   37
2017-01-23 09:37:00;0.0100;170.3800;   60;   14;   12;    0;    1;    0;    0;22.5200;0.0236;    0;   22
2017-01-23 09:38:00;0.0100;170.3900;   60;    9;   23;    0;    1;    1;    0;22.6100;0.0236;    0;   16
2017-01-23 09:39:00;0.0000;170.3900;   60;   13;    0;    0;    1;    0;    0;22.5200;0.0000;    0;   33
2017-01-23 09:40:00;0.0000;170.3900;    0;   11;   16;    0;    1;    1;    0;22.5200;0.0000;    0;   54
2017-01-23 09:41:00;0.0100;170.4000;   60;   12;   12;    0;    1;    1;    0;22.6100;0.0236;    0;   20
2017-01-23 09:42:00;0.0000;170.4000;   60;   15;    9;    0;    1;    1;    0;22.4300;0.0000;    0;   43
