WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2017-03-02;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;24.7000;0.0000;    0;  525
2017-03-02 00:01:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;24.1400;0.0000;    0;  524
2017-03-02 00:02:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;  523
2017-03-02 00:03:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;25.0700;0.0000;    0;  522
2017-03-02 00:04:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;24.2400;0.0000;    0;  521
2017-03-02 00:05:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;23.6900;0.0000;    0;  520
2017-03-02 00:06:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;23.7800;0.0000;    0;  519
2017-03-02 00:07:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;23.7800;0.0000;    0;  518
2017-03-02 00:08:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;23.4200;0.0000;    0;  517
2017-03-02 00:09:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;23.4200;0.0000;    0;  516
2017-03-02 00:10:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;23.4200;0.0000;    0;  515
2017-03-02 00:11:00;0.0000;0.1300;    0;    0;    0;    0;    0;    0;    0;23.3300;0.0000;    0;  514
